epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2503.32,0.3668,0.37814,0.8653,0.99922,1,0.995,0.95059,0.3078,0.35955,0.80533,0.0004556,0.0004556,0.0004556
80,2533.92,0.38088,0.38578,0.87437,0.99921,1,0.995,0.95523,0.3082,0.35112,0.8025,0.0004358,0.0004358,0.0004358
81,2564.57,0.40394,0.37335,0.88349,0.99924,1,0.995,0.958,0.30106,0.34478,0.79928,0.000416,0.000416,0.000416
82,2595.55,0.39199,0.36418,0.89447,0.99911,1,0.995,0.95413,0.29514,0.33958,0.79616,0.0003962,0.0003962,0.0003962
83,2626.17,0.36853,0.36987,0.88265,0.99906,1,0.995,0.95445,0.29913,0.33652,0.79646,0.0003764,0.0003764,0.0003764
84,2657.08,0.35535,0.35117,0.89322,0.99895,1,0.995,0.95643,0.28694,0.32916,0.79462,0.0003566,0.0003566,0.0003566
85,2687.69,0.35807,0.35038,0.86078,0.99899,1,0.995,0.95562,0.28313,0.32864,0.79356,0.0003368,0.0003368,0.0003368
86,2718.2,0.35739,0.35712,0.87007,0.999,1,0.995,0.95869,0.27787,0.32342,0.79209,0.000317,0.000317,0.000317
87,2748.63,0.383,0.37509,0.88423,0.99907,1,0.995,0.95823,0.27402,0.32408,0.79135,0.0002972,0.0002972,0.0002972
88,2779,0.33739,0.33858,0.87763,0.99925,1,0.995,0.96049,0.26837,0.32061,0.79015,0.0002774,0.0002774,0.0002774
89,2809.68,0.33768,0.33758,0.87513,0.99927,1,0.995,0.96061,0.26666,0.31702,0.79017,0.0002576,0.0002576,0.0002576
90,2840.1,0.37301,0.36785,0.90006,0.9993,1,0.995,0.96326,0.26186,0.31087,0.78901,0.0002378,0.0002378,0.0002378
91,2870.56,0.30239,0.3753,0.82927,0.99935,1,0.995,0.96105,0.25958,0.3119,0.78817,0.000218,0.000218,0.000218
92,2900.92,0.28878,0.34967,0.81505,0.99938,1,0.995,0.96554,0.26629,0.31806,0.78988,0.0001982,0.0001982,0.0001982
93,2931.98,0.28978,0.36593,0.81557,0.99939,1,0.995,0.96416,0.26798,0.32258,0.79045,0.0001784,0.0001784,0.0001784
94,2962.78,0.29184,0.33777,0.82359,0.99944,1,0.995,0.96334,0.25987,0.32567,0.78895,0.0001586,0.0001586,0.0001586
95,2993.65,0.29002,0.33643,0.80406,0.99943,1,0.995,0.96573,0.25411,0.3221,0.78745,0.0001388,0.0001388,0.0001388
96,3024.3,0.27544,0.34572,0.82826,0.99944,1,0.995,0.96874,0.24682,0.31427,0.78563,0.000119,0.000119,0.000119
97,3055.06,0.27534,0.33641,0.83432,0.99943,1,0.995,0.9702,0.24541,0.31145,0.78532,9.92e-05,9.92e-05,9.92e-05
98,3085.78,0.28081,0.32943,0.82148,0.99944,1,0.995,0.96969,0.24275,0.30741,0.78534,7.94e-05,7.94e-05,7.94e-05
99,3115.95,0.28208,0.32475,0.81788,0.99944,1,0.995,0.96968,0.24215,0.30534,0.78534,5.96e-05,5.96e-05,5.96e-05
100,3146.52,0.26925,0.32898,0.81649,0.99943,1,0.995,0.97061,0.24146,0.30099,0.78522,3.98e-05,3.98e-05,3.98e-05
